ID,Categoria,Subcategoria,Actividad
1,A.1. Gestión y Suministro de Agua y Saneamiento,A.1.1. Medidas que contribuyen a mejorar el acceso y/o el uso eficiente del agua.,A.1.1.1. Mejora de la planificación y gestión de captación del recurso hídrico. Economía azul sostenible: Clasifica si la fuente de captación es el mar o pozos costaneros.
2,A.1. Gestión y Suministro de Agua y Saneamiento,A.1.1. Medidas que contribuyen a mejorar el acceso y/o el uso eficiente del agua.,A.1.1.2. Instalación de equipos de captura y almacenamiento de aguas pluviales domésticas.
3,A.1. Gestión y Suministro de Agua y Saneamiento,A.1.1. Medidas que contribuyen a mejorar el acceso y/o el uso eficiente del agua.,"A.1.1.3. Instalación de nuevas conexiones de agua potable y/o rehabilitación de las redes de distribución de agua. Economía azul sostenible: Clasifica si la fuente de captación es el mar o pozos costaneros, e implica procesos de desalinización."
4,A.1. Gestión y Suministro de Agua y Saneamiento,A.1.1. Medidas que contribuyen a mejorar el acceso y/o el uso eficiente del agua.,A.1.1.4. Actividades de dotación de agua para riego de la producción agrícola y el fortalecimiento de la seguridad alimentaria y nutricional (SAN).
5,A.1. Gestión y Suministro de Agua y Saneamiento,A.1.1. Medidas que contribuyen a mejorar el acceso y/o el uso eficiente del agua.,"A.1.1.5. Acciones desde la demanda que ayuden a mejorar el consumo (eficiencia), reducir la huella hídrica y/o promover la economía circular. Economía azul sostenible: Clasifica cuando se use agua de mar en procesos industriales, como alternativa para disminuir el consumo de agua potable."
6,A.1. Gestión y Suministro de Agua y Saneamiento,A.1.1. Medidas que contribuyen a mejorar el acceso y/o el uso eficiente del agua.,A.1.1.6. Medidas para el control activo de fugas de agua.
7,A.1. Gestión y Suministro de Agua y Saneamiento,A.1.1. Medidas que contribuyen a mejorar el acceso y/o el uso eficiente del agua.,A.1.1.7. Otras medidas que contribuyen a mejorar el acceso y/o el uso eficiente del agua.
8,"A.2. Agricultura, uso de la tierra, actividad pecuaria, pesca, maricultura o acuicultura","A.2.1. Medidas que contribuyen al mantenimiento o mejora de la productividad de los sistemas agrícolas, pecuarios, pesqueros, de la maricultura o en la acuicultura marina o continental.",A.2.1.1. Incremento de la producción de cultivos forrajeros para complementar la dieta proveniente de pastizales cuyo nivel de calidad o cantidad se ha visto afectado por el cambio climático.
9,"A.2. Agricultura, uso de la tierra, actividad pecuaria, pesca, maricultura o acuicultura","A.2.1. Medidas que contribuyen al mantenimiento o mejora de la productividad de los sistemas agrícolas, pecuarios, pesqueros, de la maricultura o en la acuicultura marina o continental.","A.2.1.2. Agricultura de conservación para prevenir la pérdida de tierras cultivables y a la vez regenerar las tierras degradadas, fomentando el mantenimiento de una cobertura permanente de los suelos, el laboreo mínimo de las tierras y la diversificación de cultivos."
10,"A.2. Agricultura, uso de la tierra, actividad pecuaria, pesca, maricultura o acuicultura","A.2.1. Medidas que contribuyen al mantenimiento o mejora de la productividad de los sistemas agrícolas, pecuarios, pesqueros, de la maricultura o en la acuicultura marina o continental.","A.2.1.3. Infraestructura de irrigación nueva y/o rehabilitada, o medidas para la captura y almacenamiento de agua en áreas rurales. Economía azul sostenible: Clasifica cuando se trate de cultivos regados con agua de mar, sin afectar la calidad de los suelos."
11,"A.2. Agricultura, uso de la tierra, actividad pecuaria, pesca, maricultura o acuicultura","A.2.1. Medidas que contribuyen al mantenimiento o mejora de la productividad de los sistemas agrícolas, pecuarios, pesqueros, de la maricultura o en la acuicultura marina o continental.","A.2.1.4. Adopción de técnicas para la pesca, maricultura o acuicultura sostenible. Economía azul sostenible: Clasifica si se trata de pesca marina o maricultura sostenible."
12,"A.2. Agricultura, uso de la tierra, actividad pecuaria, pesca, maricultura o acuicultura","A.2.1. Medidas que contribuyen al mantenimiento o mejora de la productividad de los sistemas agrícolas, pecuarios, pesqueros, de la maricultura o en la acuicultura marina o continental.",A.2.1.5. Producción pecuaria sostenible basada en buenas prácticas para mejorar la productividad ante los impactos del cambio climático. Economía azul sostenible: Clasifica si se usa agua de mar u otros recursos marinos como suplemento en la dieta.
13,"A.2. Agricultura, uso de la tierra, actividad pecuaria, pesca, maricultura o acuicultura","A.2.1. Medidas que contribuyen al mantenimiento o mejora de la productividad de los sistemas agrícolas, pecuarios, pesqueros, de la maricultura o en la acuicultura marina o continental.",A.2.1.6. Medidas basadas en tecnología que impulse la productividad de una agricultura inteligente ante el cambio climático. Economía azul sostenible: Clasifica cuando se trate de tecnologías que empleen agua de mar o recursos genéticos marinos para una agricultura más resiliente al cambio climático.
14,"A.2. Agricultura, uso de la tierra, actividad pecuaria, pesca, maricultura o acuicultura","A.2.1. Medidas que contribuyen al mantenimiento o mejora de la productividad de los sistemas agrícolas, pecuarios, pesqueros, de la maricultura o en la acuicultura marina o continental.","A.2.1.7. Otras medidas que contribuyen al mantenimiento o mejora de la productividad de los sistemas agrícolas, pecuarios, pesqueros, de la maricultura o en la acuicultura marina o continental. Economía azul sostenible: Clasifica cuando se trate de otras medidas que contribuyan a mantener o mejorar de manera sostenible la productividad de la pesca marina o maricultura sostenible."
15,A.3. Adaptación basada en ecosistemas,A.3.1. Uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático.,"A.3.1.1. Mejora de la gestión de pendientes en las cuencas para adaptarse al aumento de la erosión del suelo causada por las inundaciones debido al exceso de lluvias. Economía azul sostenible: Clasifica cuando genere un impacto positivo sobre la zona marino-costera, como, por ejemplo: mitigar la sedimentación, disminuir la contaminación, y/o reducir procesos erosivos en la costa."
16,A.3. Adaptación basada en ecosistemas,A.3.1. Uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático.,"A.3.1.2. Plantación y/o restauración ecológica de manglares, pastos marinos, corales y/o vegetación costera nativa para construir una barrera natural para adaptarse al aumento de la erosión costera y/o limitar la intrusión de agua salada en los suelos causados por el aumento del nivel del mar. La actividad siempre clasifica como economía azul sostenible."
17,A.3. Adaptación basada en ecosistemas,A.3.1. Uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático.,"A.3.1.3. Restauración y gestión integral de cuencas y subcuencas hidrográficas. Economía azul sostenible: Cuando genere un impacto positivo sobre la zona marino-costera, como, por ejemplo: mitigar la sedimentación, disminuir la contaminación, y/o reducir procesos erosivos en la costa."
18,A.3. Adaptación basada en ecosistemas,A.3.1. Uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático.,A.3.1.4. Recuperación y/o reforestación de bosques urbanos que cumplen funciones vitales para la sostenibilidad y contribuyen a la mitigación del riesgo climático. Economía azul sostenible: Clasifican cuando se trate de plantaciones forestales con especies nativas adaptadas a ambientes marino-costeros.
19,A.3. Adaptación basada en ecosistemas,A.3.1. Uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático.,A.3.1.5. Jardines filtrantes en cuerpos de agua urbanos para reducir el riesgo de inundaciones. Economía azul sostenible: Clasifican cuando se trate de plantaciones forestales con especies nativas adaptadas a ambientes marino-costeros.
20,A.3. Adaptación basada en ecosistemas,A.3.1. Uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático.,A.3.1.6. Inversión en cobertura vegetal para el control de erosión de suelos y reducción del riesgo climático por deslizamientos. Economía azul sostenible: Clasifican cuando se trate de plantaciones forestales con especies nativas adaptadas a ambientes marino-costeros.
